typeId,author,ave_neighbor,degree,closeness,betweenness,ei_numpy,katz,cluster,commu,pagerank_numpy,h2,a2,closeness_vitality,density,periphery,avershortest,average_node_connectivity,trans,degree_assortativity,number_nodes,number_edges,number_clique,diameter
0,51,72.61904762,8.157276995,69.24477656,0.0,7.6202463589999985,8.684049447000001,100.0,3.160475244,8.361481886,7.6202463589999985,7.6202463589999985,42.81200632,0.035586339,0.106918239,3.087450828,1.95796513,0.276441796,-0.20900888,0.2066929133858268,0.16345226615236258,0.11404728789986092,0.2528473804100228
0,52,47.32142857,21.66960094,62.2396507,0.248460393,23.36572824,21.59806337,66.66666667,3.208759054,22.11096364,23.36572824,23.36572824,43.36492891,0.035586339,0.106918239,3.087450828,1.95796513,0.276441796,-0.20900888,0.2066929133858268,0.16345226615236258,0.11404728789986092,0.2528473804100228
0,53,100.0,0.0,69.08642879,0.0,3.118648958,0.0,100.0,2.245812362,0.0,3.118648958,3.118648958,42.82329045,0.035586339,0.106918239,3.087450828,1.95796513,0.276441796,-0.20900888,0.2066929133858268,0.16345226615236258,0.11404728789986092,0.2528473804100228
1,54,35.71428571,41.02112676,80.67723753,4.903323814,20.85726666,39.68724522,36.36363636,16.48959632,41.19518672,20.85726666,20.85726666,41.76258181,0.035586339,0.106918239,3.087450828,1.95796513,0.276441796,-0.20900888,0.2066929133858268,0.16345226615236258,0.11404728789986092,0.2528473804100228
0,55,76.78571429,6.132629108,68.30522305,0.0,6.976231725,7.0128437460000015,100.0,1.561611316,5.865219803,6.976231725,6.976231725,42.87971113,0.035586339,0.106918239,3.087450828,1.95796513,0.276441796,-0.20900888,0.2066929133858268,0.16345226615236258,0.11404728789986092,0.2528473804100228
0,56,10.71428571,25.1907277,4.134987328,0.0,3.21e-15,23.02005221,100.0,0.214616572,24.44210313,0.0,0.0,37.835703,0.035586339,0.106918239,3.087450828,1.95796513,0.276441796,-0.20900888,0.2066929133858268,0.16345226615236258,0.11404728789986092,0.2528473804100228
0,57,10.71428571,25.1907277,4.134987328,0.0,6.56e-16,23.02005221,100.0,0.214616572,24.44210313,5.65e-58,5.65e-58,37.835703,0.035586339,0.106918239,3.087450828,1.95796513,0.276441796,-0.20900888,0.2066929133858268,0.16345226615236258,0.11404728789986092,0.2528473804100228
0,58,44.28571429,24.13438967,71.20199889,1.030287903,13.15687947,25.07324321,70.0,3.733587465,23.34848223,13.15687947,13.15687947,42.67659671,0.035586339,0.106918239,3.087450828,1.95796513,0.276441796,-0.20900888,0.2066929133858268,0.16345226615236258,0.11404728789986092,0.2528473804100228
0,59,70.23809524,4.812206573,67.39034053,0.0,3.019233696,4.560684255,100.0,2.293232416,5.5651480000000015,3.019233696,3.019233696,42.94741593,0.035586339,0.106918239,3.087450828,1.95796513,0.276441796,-0.20900888,0.2066929133858268,0.16345226615236258,0.11404728789986092,0.2528473804100228
0,60,15.47619048,20.87734742,48.50624553,0.0,0.641891749,19.10570886,100.0,0.143923007,20.56170267,0.641891749,0.641891749,44.8995712,0.035586339,0.106918239,3.087450828,1.95796513,0.276441796,-0.20900888,0.2066929133858268,0.16345226615236258,0.11404728789986092,0.2528473804100228
0,61,58.11688312,28.125,87.65079844,19.67019757,33.40805185,30.26138787,30.90909091,25.63977812,26.96654041,33.40805185,33.40805185,38.72714963,0.035586339,0.106918239,3.087450828,1.95796513,0.276441796,-0.20900888,0.2066929133858268,0.16345226615236258,0.11404728789986092,0.2528473804100228
0,62,60.11904762,18.35387324,78.99835126,1.853206491,17.57644239,20.54527575,73.33333333,9.504018165,17.48634066,17.57644239,17.57644239,42.20266306,0.035586339,0.106918239,3.087450828,1.95796513,0.276441796,-0.20900888,0.2066929133858268,0.16345226615236258,0.11404728789986092,0.2528473804100228
0,63,21.42857143,19.24882629,54.14690415,0.0,1.805631668,16.93186303,100.0,0.285017147,21.95351477,1.805631668,1.805631668,44.17738659,0.035586339,0.106918239,3.087450828,1.95796513,0.276441796,-0.20900888,0.2066929133858268,0.16345226615236258,0.11404728789986092,0.2528473804100228
0,64,40.30612245,25.01467136,67.39034053,0.5004702,31.19625739,25.38129162,61.9047619,8.750949684,24.16595036,31.19625739,31.19625739,42.94741593,0.035586339,0.106918239,3.087450828,1.95796513,0.276441796,-0.20900888,0.2066929133858268,0.16345226615236258,0.11404728789986092,0.2528473804100228
0,65,41.78571429,24.64788732,81.54325934,19.18798654,7.010413702999999,23.15933009,31.11111111,10.77266297,26.58208331,7.010413702999999,7.010413702999999,37.93726021,0.035586339,0.106918239,3.087450828,1.95796513,0.276441796,-0.20900888,0.2066929133858268,0.16345226615236258,0.11404728789986092,0.2528473804100228
0,66,61.9047619,17.18016432,69.24477656,0.0,3.449817056,15.18824713,100.0,2.165605314,18.84004621,3.449817056,3.449817056,42.81200632,0.035586339,0.106918239,3.087450828,1.95796513,0.276441796,-0.20900888,0.2066929133858268,0.16345226615236258,0.11404728789986092,0.2528473804100228
0,67,47.32142857,20.17312207,67.54114901,0.0,6.009899392,18.80337262,100.0,2.700966092,21.17574986,6.009899392,6.009899392,42.9361318,0.035586339,0.106918239,3.087450828,1.95796513,0.276441796,-0.20900888,0.2066929133858268,0.16345226615236258,0.11404728789986092,0.2528473804100228
0,68,20.91836735,33.89084507,63.42019053,6.140612268,2.223395566,31.84907606,57.14285714,1.341446462,32.37343684,2.223395566,2.223395566,43.2633717,0.035586339,0.106918239,3.087450828,1.95796513,0.276441796,-0.20900888,0.2066929133858268,0.16345226615236258,0.11404728789986092,0.2528473804100228
0,69,50.89285714,21.97769953,72.56821683,0.0,21.09605645,24.8036345,100.0,4.007770467,20.83623977,21.09605645,21.09605645,42.58632363,0.035586339,0.106918239,3.087450828,1.95796513,0.276441796,-0.20900888,0.2066929133858268,0.16345226615236258,0.11404728789986092,0.2528473804100228
0,70,0.0,10.5193662,0.0,0.0,4.84e-14,7.307430827999999,0.0,2.96e-17,24.44210313,6.419999999999999e-58,6.419999999999999e-58,37.8018506,0.035586339,0.106918239,3.087450828,1.95796513,0.276441796,-0.20900888,0.2066929133858268,0.16345226615236258,0.11404728789986092,0.2528473804100228
