typeId,author,ave_neighbor,top1,top1-5,top6-10,top2-5,top10-50,top>50,degree,top1.1,top1-5.1,top6-10.1,top2-5.1,top10-50.1,top>50.1,closeness,top1.2,top1-5.2,top6-10.2,top2-5.2,top10-50.2,top>50.2,betweenness,top1.3,top1-5.3,top6-10.3,top2-5.3,top10-50.3,top>50.3,ei_numpy,top1.4,top1-5.4,top6-10.4,top2-5.4,top10-50.4,top>50.4,katz,top1.5,top1-5.5,top6-10.5,top2-5.5,top10-50.5,top>50.5,cluster,top1.6,top1-5.6,top6-10.6,top2-5.6,top10-50.6,top>50.6,commu,top1.7,top1-5.7,top6-10.7,top2-5.7,top10-50.7,top>50.7,pagerank_numpy,top1.8,top1-5.8,top6-10.8,top2-5.8,top10-50.8,top>50.8,h2,top1.9,top1-5.9,top6-10.9,top2-5.9,top10-50.9,top>50.9,a2,top1.10,top1-5.10,top6-10.10,top2-5.10,top10-50.10,top>50.10,closeness_vitality,top1.11,top1-5.11,top6-10.11,top2-5.11,top10-50.11,top>50.11,density,periphery,avershortest,average_node_connectivity,trans,degree_assortativity,number_nodes,number_edges,number_clique,diameter
0,1,4.69924812,0,0,0,0,0,1,15.23133499,0,0,0,0,1,0,1.914552766,0,0,0,0,0,1,0.0,0,0,0,0,1,0,7.07e-15,0,0,0,0,0,1,14.13216385,0,0,0,0,0,1,100.0,1,1,0,0,0,0,0.072124096,0,0,0,0,0,1,17.69773858,0,0,0,0,1,0,9.28e-15,0,0,0,0,0,1,9.28e-15,0,0,0,0,0,1,47.40700219,0,0,0,0,0,1,0.035345717,0.156862745,3.266528067,1.910216718,0.253780408,-0.218782575,0.19488188976377951,0.14609450337512053,0.09457579972183588,0.24145785876993167
0,2,54.32330827,0,0,0,0,1,0,11.79338066,0,0,0,0,0,1,66.63525146,0,0,0,0,1,0,0.0,0,0,0,0,1,0,11.21526984,0,0,0,0,1,0,12.71691026,0,0,0,0,0,1,100.0,1,1,0,0,0,0,4.263390373,0,0,0,0,1,0,12.20806064,0,0,0,0,0,1,11.21526984,0,0,0,0,1,0,11.21526984,0,0,0,0,1,0,51.90371991,0,0,0,0,0,1,0.035345717,0.156862745,3.266528067,1.910216718,0.253780408,-0.218782575,0.19488188976377951,0.14609450337512053,0.09457579972183588,0.24145785876993167
0,3,73.30827068,0,1,0,1,0,0,3.198494826,0,0,0,0,0,1,67.49040142,0,0,0,0,1,0,0.0,0,0,0,0,1,0,7.056139087999999,0,0,0,0,1,0,4.81825987,0,0,0,0,0,1,100.0,1,1,0,0,0,0,3.590155916,0,0,0,0,1,0,2.912671563,0,0,0,0,0,1,7.056139087999999,0,0,0,0,1,0,7.056139087999999,0,0,0,0,1,0,51.84901532,0,0,0,0,0,1,0.035345717,0.156862745,3.266528067,1.910216718,0.253780408,-0.218782575,0.19488188976377951,0.14609450337512053,0.09457579972183588,0.24145785876993167
0,4,6.390977444,0,0,0,0,0,1,0.0,0,0,0,0,0,1,0.0,0,0,0,0,0,1,0.0,0,0,0,0,1,0,2.91e-14,0,0,0,0,0,1,0.0,0,0,0,0,0,1,0.0,0,0,0,0,1,0,0.0008740999999999999,0,0,0,0,0,1,0.338243621,0,0,0,0,0,1,1.05e-14,0,0,0,0,0,1,1.05e-14,0,0,0,0,0,1,47.43982495,0,0,0,0,0,1,0.035345717,0.156862745,3.266528067,1.910216718,0.253780408,-0.218782575,0.19488188976377951,0.14609450337512053,0.09457579972183588,0.24145785876993167
1,5,7.46976136,0,0,0,0,0,1,48.524758399999996,0,1,0,1,0,0,65.63575703,0,0,0,0,1,0,29.54249766,0,1,0,1,0,0,1.958008283,0,0,0,0,0,1,46.2011657,0,1,0,1,0,0,16.99604743,0,0,0,0,1,0,5.546318739,0,0,0,0,1,0,46.78201282,0,1,0,1,0,0,1.958008283,0,0,0,0,0,1,1.958008283,0,0,0,0,0,1,45.92997812,0,0,0,0,0,1,0.035345717,0.156862745,3.266528067,1.910216718,0.253780408,-0.218782575,0.19488188976377951,0.14609450337512053,0.09457579972183588,0.24145785876993167
0,6,11.65413534,0,0,0,0,0,1,10.88685538,0,0,0,0,0,1,55.29290023,0,0,0,0,0,1,0.0,0,0,0,0,1,0,0.578197841,0,0,0,0,0,1,9.590028209,0,0,0,0,0,1,100.0,1,1,0,0,0,0,0.145533105,0,0,0,0,0,1,13.10672338,0,0,0,0,0,1,0.578197841,0,0,0,0,0,1,0.578197841,0,0,0,0,0,1,52.77899344,0,0,0,0,1,0,0.035345717,0.156862745,3.266528067,1.910216718,0.253780408,-0.218782575,0.19488188976377951,0.14609450337512053,0.09457579972183588,0.24145785876993167
0,7,33.45864662,0,0,0,0,1,0,0.025656376,0,0,0,0,0,1,45.638296600000004,0,0,0,0,0,1,0.0,0,0,0,0,1,0,0.31992109,0,0,0,0,0,1,0.790627636,0,0,0,0,0,1,0.0,0,0,0,0,1,0,0.023501279,0,0,0,0,0,1,0.0,0,0,0,0,0,1,0.31992109,0,0,0,0,0,1,0.31992109,0,0,0,0,0,1,53.84026258,0,0,0,0,1,0,0.035345717,0.156862745,3.266528067,1.910216718,0.253780408,-0.218782575,0.19488188976377951,0.14609450337512053,0.09457579972183588,0.24145785876993167
0,8,4.69924812,0,0,0,0,0,1,15.23133499,0,0,0,0,1,0,1.914552766,0,0,0,0,0,1,0.0,0,0,0,0,1,0,4.51e-15,0,0,0,0,0,1,14.13216385,0,0,0,0,0,1,100.0,1,1,0,0,0,0,0.072124096,0,0,0,0,0,1,17.69773858,0,0,0,0,1,0,1.1199999999999999e-13,0,0,0,0,0,1,1.1199999999999999e-13,0,0,0,0,0,1,47.40700219,0,0,0,0,0,1,0.035345717,0.156862745,3.266528067,1.910216718,0.253780408,-0.218782575,0.19488188976377951,0.14609450337512053,0.09457579972183588,0.24145785876993167
0,9,43.38345865,0,0,0,0,1,0,14.8293851,0,0,0,0,1,0,66.80463693,0,0,0,0,1,0,0.02106937,0,0,0,0,1,0,11.13002819,0,0,0,0,1,0,14.67227824,0,0,0,0,0,1,80.0,0,1,0,1,0,0,4.937515286,0,0,0,0,1,0,15.76468935,0,0,0,0,1,0,11.13002819,0,0,0,0,1,0,11.13002819,0,0,0,0,1,0,51.89277899,0,0,0,0,0,1,0.035345717,0.156862745,3.266528067,1.910216718,0.253780408,-0.218782575,0.19488188976377951,0.14609450337512053,0.09457579972183588,0.24145785876993167
0,10,21.05263158,0,0,0,0,0,1,11.69930728,0,0,0,0,0,1,57.77181033,0,0,0,0,1,0,16.59212861,0,0,0,0,1,0,0.752924769,0,0,0,0,0,1,12.24182736,0,0,0,0,0,1,66.66666667,0,1,0,1,0,0,0.97406034,0,0,0,0,0,1,12.08726803,0,0,0,0,0,1,0.752924769,0,0,0,0,0,1,0.752924769,0,0,0,0,0,1,100.0,1,1,0,0,0,0,0.035345717,0.156862745,3.266528067,1.910216718,0.253780408,-0.218782575,0.19488188976377951,0.14609450337512053,0.09457579972183588,0.24145785876993167
